rank,name,handle,followers,er,topics
127,Recetas Sabrosas Fit 🍓,@recetas.sabrosas_fit,2.3M,0.04%,Food
128,Efrain,@efrainruales,2.3M,6.13%,"Celebrity, Actors"
129,Maxi Iglesias,@maxi_iglesias,2.3M,1.54%,"Actors, Modeling"
130,EVA JARIT⚜,@evajarit,2.2M,3.25%,"Fashion and Accessories, Entertainment and Music, Actors, Modeling"
131,📍Recetas saludables 🍜🍎,@_recetas_saludable_,2.2M,0.14%,"Beauty, Fitness and Health"
132,Pablo Motos,@pablomotos,2.2M,2.03%,"Actors, Fashion"
133,Antonio Orozco,@antoniorozco10,2.2M,0.91%,"Entertainment and Music, Actors, Journalists"
134,Chukwuezesamuel (m.o.n),@chukwuezesamuel8,2.2M,4.66%,Sports
135,mariahnadim - ماريا ناديم,@mariahnadim,2.2M,4.29%,"Arts and Crafts, Entertainment and Music, Singer, Celebrities"
136,sitara,@sitaraghattamaneni,2.2M,10.34%,Video Gaming
137,Nadina Ioana 🤍,@nadina_ioana,2.1M,2.19%,"Art, Design, Hair & Beauty, Health & Fitness"
138,Rindala Kodeih,@rindalakodeih,2.1M,0.52%,"Acting and Drama, Celebrity, Actors, Music"
139,Armando Esquivel,@armandococinando,2.1M,1.8%,Food
140,Tamara Gorro,@tamara_gorro,2M,0.77%,"family, Journalists, Celebrities, Hair & Beauty"
141,Frases y Reflexiones,@frasesyreflexionessss,2M,0.4%,
142,➰Eva Padlock➰,@evapadlock,2M,2.11%,Fashion and Accessories
143,Manuel Carrasco,@manuelcarrasco_,2M,2.22%,"Entertainment and Music, Actors"
144,LAURA ESCANES,@lauraescanes,2M,1.79%,"Fashion and Accessories, Beauty and Self Care, Entertainment and Music, Lifestyle"
145,Daniel Ceballos Fernandez,@danifuli10,2M,3.9%,"Soccer, Actors"
146,Lara Álvarez,@laruka,2M,0.41%,"Entertainment and Music, Arts and Crafts, Journalists"
147,Pau,@paugasol,2M,3.05%,"Basketball, Sports"
148,Jesé Rodríguez,@jeserodriguez10,2M,0.58%,"Sports, Soccer"
149,KIZARU,@tommyhellatrigger,2M,2.68%,"Fashion and Accessories, Business and Finance, Music, Singer"
150,Sergio Reguilón,@sergioregui,2M,18.2%,"Sports, Soccer"
151,Lisa Morales Duke,@misslisamorales,2M,0.13%,"Fashion and Accessories, family, Parenting, Health & Fitness"
152,HUMOR,@vainafrases,2M,0.17%,Funny
153,Ignacio Jorda,@nachovidalxxx,1.9M,0.11%,"Entertainment and Music, Actors, Artist, Creators & Celebrities"
154,Kiko Casilla,@kikocasilla,1.9M,1.4%,"Sports, Soccer"
155,EMELIE LINDMARK,@emitaz,1.9M,0.57%,"Fashion and Accessories, Hair & Beauty, Celebrities"
156,JORGE LORENZO,@jorgelorenzo99,1.9M,0.2%,"Sports, Motorcycle Racing"
157,Michel Salgado,@therealsalgado,1.9M,1.99%,"Sports, Fashion and Accessories"
158,Diego Lainez,@diego_lainez,1.9M,18.44%,"Sports, Modeling"
159,Boys🔥,@tusmejoreschicos,1.9M,0.9%,Marketing and Advertising
160,Paula,@paulagonu,1.9M,1.07%,"Entertainment and Music, Actors, Design"
161,DaniRep,@danireprep,1.9M,19.99%,"Actors, Fashion, Modeling"
162,TE AMO JESUS ❤️,@elpoetacallejero,1.8M,0.61%,"Entertainment and Music, Arts and Crafts, Celebrities, Film, Music & Books"
163,Jessica Goicoechea.,@goicoechea,1.8M,2.12%,"Fashion and Accessories, Lifestyle, Modeling"
164,¿Sabías Que? | Curiosidades,@saber.detodo,1.8M,2%,"Education, Entertainment and Music"
165,Dani Martínez,@danimartinezweb,1.8M,1.28%,"Entertainment and Music, Music, Celebrity, Actors"
166,TR4INER | Anthoni Montalván,@tr4iner,1.8M,0.72%,"Fitness and Health, Coaching, Gym"
167,GERARD DEULOFEU,@gerardeulofeu,1.8M,0.3%,Sports
